,sex,unit,geo,TIME_PERIOD,OBS_VALUE
0,F,PC_EMP,AT,2009-Q1,2.9
1,F,PC_EMP,AT,2009-Q2,3.0
2,F,PC_EMP,AT,2009-Q3,2.6
3,F,PC_EMP,AT,2009-Q4,3.7
4,F,PC_EMP,AT,2010-Q1,2.7
5,F,PC_EMP,AT,2010-Q2,2.5
6,F,PC_EMP,AT,2010-Q3,2.6
7,F,PC_EMP,AT,2010-Q4,3.7
8,F,PC_EMP,AT,2011-Q1,2.9
9,F,PC_EMP,AT,2011-Q2,2.8
10,F,PC_EMP,AT,2011-Q3,2.7
11,F,PC_EMP,AT,2011-Q4,3.3
12,F,PC_EMP,AT,2012-Q1,2.5
13,F,PC_EMP,AT,2012-Q2,2.5
14,F,PC_EMP,AT,2012-Q3,2.7
15,F,PC_EMP,AT,2012-Q4,3.8
16,F,PC_EMP,AT,2013-Q1,2.8
17,F,PC_EMP,AT,2013-Q2,2.4
18,F,PC_EMP,AT,2013-Q3,2.8
19,F,PC_EMP,AT,2013-Q4,3.7
20,F,PC_EMP,AT,2014-Q1,2.8
21,F,PC_EMP,AT,2014-Q2,2.4
22,F,PC_EMP,AT,2014-Q3,2.8
23,F,PC_EMP,AT,2014-Q4,3.8
24,F,PC_EMP,AT,2015-Q1,2.7
25,F,PC_EMP,AT,2015-Q2,2.6
26,F,PC_EMP,AT,2015-Q3,2.3
27,F,PC_EMP,AT,2015-Q4,3.6
28,F,PC_EMP,AT,2016-Q1,2.6
29,F,PC_EMP,AT,2016-Q2,2.6
30,F,PC_EMP,AT,2016-Q3,2.8
31,F,PC_EMP,AT,2016-Q4,3.3
32,F,PC_EMP,AT,2017-Q1,2.8
33,F,PC_EMP,AT,2017-Q2,2.3
34,F,PC_EMP,AT,2017-Q3,2.9
35,F,PC_EMP,AT,2017-Q4,3.1
36,F,PC_EMP,AT,2018-Q1,2.3
37,F,PC_EMP,AT,2018-Q2,2.0
38,F,PC_EMP,AT,2018-Q3,3.5
39,F,PC_EMP,AT,2018-Q4,3.3
40,F,PC_EMP,AT,2019-Q1,2.6
41,F,PC_EMP,AT,2019-Q2,2.8
42,F,PC_EMP,AT,2019-Q3,2.9
43,F,PC_EMP,AT,2019-Q4,3.6
44,F,PC_EMP,AT,2020-Q1,3.4
45,F,PC_EMP,AT,2020-Q2,4.9
46,F,PC_EMP,AT,2020-Q3,2.3
47,F,PC_EMP,AT,2020-Q4,3.8
48,F,PC_EMP,AT,2021-Q1,3.0
49,F,PC_EMP,AT,2021-Q2,1.9
50,F,THS,AT,2009-Q1,53.9
51,F,THS,AT,2009-Q2,55.0
52,F,THS,AT,2009-Q3,47.7
53,F,THS,AT,2009-Q4,68.7
54,F,THS,AT,2010-Q1,49.5
55,F,THS,AT,2010-Q2,47.1
56,F,THS,AT,2010-Q3,48.9
57,F,THS,AT,2010-Q4,69.2
58,F,THS,AT,2011-Q1,54.0
59,F,THS,AT,2011-Q2,52.0
60,F,THS,AT,2011-Q3,51.5
61,F,THS,AT,2011-Q4,62.6
62,F,THS,AT,2012-Q1,47.2
63,F,THS,AT,2012-Q2,47.4
64,F,THS,AT,2012-Q3,51.4
65,F,THS,AT,2012-Q4,72.2
