,sex,unit,geo,TIME_PERIOD,OBS_VALUE
0,F,PC_EMP,AT,2009-Q1,4.2
1,F,PC_EMP,AT,2009-Q2,4.1
2,F,PC_EMP,AT,2009-Q3,5.0
3,F,PC_EMP,AT,2009-Q4,4.9
4,F,PC_EMP,AT,2010-Q1,3.9
5,F,PC_EMP,AT,2010-Q2,4.4
6,F,PC_EMP,AT,2010-Q3,5.8
7,F,PC_EMP,AT,2010-Q4,5.7
8,F,PC_EMP,AT,2011-Q1,4.5
9,F,PC_EMP,AT,2011-Q2,4.7
10,F,PC_EMP,AT,2011-Q3,6.4
11,F,PC_EMP,AT,2011-Q4,5.0
12,F,PC_EMP,AT,2012-Q1,4.3
13,F,PC_EMP,AT,2012-Q2,4.2
14,F,PC_EMP,AT,2012-Q3,5.5
15,F,PC_EMP,AT,2012-Q4,5.4
16,F,PC_EMP,AT,2013-Q1,4.1
17,F,PC_EMP,AT,2013-Q2,4.1
18,F,PC_EMP,AT,2013-Q3,5.6
19,F,PC_EMP,AT,2013-Q4,4.9
20,F,PC_EMP,AT,2014-Q1,4.2
21,F,PC_EMP,AT,2014-Q2,4.3
22,F,PC_EMP,AT,2014-Q3,5.0
23,F,PC_EMP,AT,2014-Q4,5.7
24,F,PC_EMP,AT,2015-Q1,4.0
25,F,PC_EMP,AT,2015-Q2,4.1
26,F,PC_EMP,AT,2015-Q3,5.2
27,F,PC_EMP,AT,2015-Q4,5.0
28,F,PC_EMP,AT,2016-Q1,4.5
29,F,PC_EMP,AT,2016-Q2,4.2
30,F,PC_EMP,AT,2016-Q3,5.7
31,F,PC_EMP,AT,2016-Q4,5.3
32,F,PC_EMP,AT,2017-Q1,4.3
33,F,PC_EMP,AT,2017-Q2,4.3
34,F,PC_EMP,AT,2017-Q3,5.7
35,F,PC_EMP,AT,2017-Q4,5.8
36,F,PC_EMP,AT,2018-Q1,4.4
37,F,PC_EMP,AT,2018-Q2,4.4
38,F,PC_EMP,AT,2018-Q3,5.2
39,F,PC_EMP,AT,2018-Q4,6.0
40,F,PC_EMP,AT,2019-Q1,4.5
41,F,PC_EMP,AT,2019-Q2,4.7
42,F,PC_EMP,AT,2019-Q3,5.6
43,F,PC_EMP,AT,2019-Q4,5.7
44,F,PC_EMP,AT,2020-Q1,4.4
45,F,PC_EMP,AT,2020-Q2,3.0
46,F,PC_EMP,AT,2020-Q3,5.5
47,F,PC_EMP,AT,2020-Q4,5.0
48,F,PC_EMP,AT,2021-Q1,3.4
49,F,PC_EMP,AT,2021-Q2,3.9
50,F,THS,AT,2009-Q1,76.7
51,F,THS,AT,2009-Q2,75.7
52,F,THS,AT,2009-Q3,92.4
53,F,THS,AT,2009-Q4,90.9
54,F,THS,AT,2010-Q1,72.7
55,F,THS,AT,2010-Q2,80.8
56,F,THS,AT,2010-Q3,110.1
57,F,THS,AT,2010-Q4,106.0
58,F,THS,AT,2011-Q1,83.6
59,F,THS,AT,2011-Q2,88.3
60,F,THS,AT,2011-Q3,121.6
61,F,THS,AT,2011-Q4,93.2
62,F,THS,AT,2012-Q1,82.0
63,F,THS,AT,2012-Q2,80.9
64,F,THS,AT,2012-Q3,105.8
65,F,THS,AT,2012-Q4,104.0
66,F,THS,AT,2013-Q1,78.7
67,F,THS,AT,2013-Q2,79.6
68,F,THS,AT,2013-Q3,108.6
69,F,THS,AT,2013-Q4,92.9
70,F,THS,AT,2014-Q1,80.9
71,F,THS,AT,2014-Q2,83.5
72,F,THS,AT,2014-Q3,97.9
73,F,THS,AT,2014-Q4,110.0
74,F,THS,AT,2015-Q1,76.1
75,F,THS,AT,2015-Q2,78.7
76,F,THS,AT,2015-Q3,102.8
77,F,THS,AT,2015-Q4,98.2
78,F,THS,AT,2016-Q1,87.5
79,F,THS,AT,2016-Q2,83.0
80,F,THS,AT,2016-Q3,113.9
81,F,THS,AT,2016-Q4,106.0
82,F,THS,AT,2017-Q1,85.2
83,F,THS,AT,2017-Q2,86.8
84,F,THS,AT,2017-Q3,115.3
85,F,THS,AT,2017-Q4,116.8
86,F,THS,AT,2018-Q1,87.6
87,F,THS,AT,2018-Q2,88.6
88,F,THS,AT,2018-Q3,106.6
89,F,THS,AT,2018-Q4,121.6
90,F,THS,AT,2019-Q1,91.4
91,F,THS,AT,2019-Q2,94.9
92,F,THS,AT,2019-Q3,115.4
93,F,THS,AT,2019-Q4,116.6
94,F,THS,AT,2020-Q1,88.9
95,F,THS,AT,2020-Q2,58.7
96,F,THS,AT,2020-Q3,112.0
97,F,THS,AT,2020-Q4,101.5
98,F,THS,AT,2021-Q1,66.1
99,F,THS,AT,2021-Q2,76.5
300,M,PC_EMP,AT,2009-Q1,3.2
301,M,PC_EMP,AT,2009-Q2,4.6
302,M,PC_EMP,AT,2009-Q3,4.7
303,M,PC_EMP,AT,2009-Q4,4.1
304,M,PC_EMP,AT,2010-Q1,4.2
305,M,PC_EMP,AT,2010-Q2,5.5
306,M,PC_EMP,AT,2010-Q3,5.6
307,M,PC_EMP,AT,2010-Q4,4.5
308,M,PC_EMP,AT,2011-Q1,3.7
309,M,PC_EMP,AT,2011-Q2,5.5
310,M,PC_EMP,AT,2011-Q3,5.1
311,M,PC_EMP,AT,2011-Q4,4.2
312,M,PC_EMP,AT,2012-Q1,3.7
313,M,PC_EMP,AT,2012-Q2,5.0
314,M,PC_EMP,AT,2012-Q3,5.0
315,M,PC_EMP,AT,2012-Q4,3.9
316,M,PC_EMP,AT,2013-Q1,3.7
317,M,PC_EMP,AT,2013-Q2,4.8
318,M,PC_EMP,AT,2013-Q3,4.7
319,M,PC_EMP,AT,2013-Q4,4.1
320,M,PC_EMP,AT,2014-Q1,3.6
321,M,PC_EMP,AT,2014-Q2,4.8
322,M,PC_EMP,AT,2014-Q3,4.3
323,M,PC_EMP,AT,2014-Q4,4.1
324,M,PC_EMP,AT,2015-Q1,3.7
325,M,PC_EMP,AT,2015-Q2,5.0
326,M,PC_EMP,AT,2015-Q3,4.9
327,M,PC_EMP,AT,2015-Q4,4.4
328,M,PC_EMP,AT,2016-Q1,3.6
329,M,PC_EMP,AT,2016-Q2,5.0
330,M,PC_EMP,AT,2016-Q3,4.9
331,M,PC_EMP,AT,2016-Q4,4.0
332,M,PC_EMP,AT,2017-Q1,4.2
333,M,PC_EMP,AT,2017-Q2,5.3
334,M,PC_EMP,AT,2017-Q3,5.0
335,M,PC_EMP,AT,2017-Q4,4.5
336,M,PC_EMP,AT,2018-Q1,4.3
337,M,PC_EMP,AT,2018-Q2,4.9
338,M,PC_EMP,AT,2018-Q3,4.8
339,M,PC_EMP,AT,2018-Q4,4.3
340,M,PC_EMP,AT,2019-Q1,4.1
341,M,PC_EMP,AT,2019-Q2,5.1
342,M,PC_EMP,AT,2019-Q3,4.8
343,M,PC_EMP,AT,2019-Q4,4.4
344,M,PC_EMP,AT,2020-Q1,3.8
345,M,PC_EMP,AT,2020-Q2,3.5
346,M,PC_EMP,AT,2020-Q3,4.8
347,M,PC_EMP,AT,2020-Q4,3.7
348,M,PC_EMP,AT,2021-Q1,3.9
349,M,PC_EMP,AT,2021-Q2,4.6
350,M,THS,AT,2009-Q1,67.3
351,M,THS,AT,2009-Q2,98.0
352,M,THS,AT,2009-Q3,101.6
353,M,THS,AT,2009-Q4,88.4
354,M,THS,AT,2010-Q1,86.9
355,M,THS,AT,2010-Q2,117.0
356,M,THS,AT,2010-Q3,121.7
357,M,THS,AT,2010-Q4,96.8
358,M,THS,AT,2011-Q1,78.3
359,M,THS,AT,2011-Q2,118.2
360,M,THS,AT,2011-Q3,111.1
