freq,age,geo,time,value,previous_value
SMT,Y15-24,AT,2005,6.7,0.0
SMT,Y15-24,AT,2006,3.4,6.7
SMT,Y15-24,AT,2007,4.2,3.4
SMT,Y15-24,AT,2008,4.3,4.2
SMT,Y15-24,AT,2009,4.6,4.3
SMT,Y15-24,AT,2010,4.9,4.6
SMT,Y15-24,AT,2011,5.0,4.9
SMT,Y15-24,AT,2012,5.2,5.0
SMT,Y15-24,AT,2013,5.0,5.2
SMT,Y15-24,AT,2014,4.3,5.0
SMT,Y15-24,AT,2015,5.1,4.3
SMT,Y15-24,AT,2016,5.1,5.1
SMT,Y15-24,AT,2017,4.7,5.1
SMT,Y15-24,AT,2018,4.5,4.7
SMT,Y15-24,AT,2019,4.9,4.5
SMT,Y15-24,AT,2020,5.6,4.9
SMT,Y15-24,BE,2005,3.1,0.0
SMT,Y15-24,BE,2006,3.0,3.1
SMT,Y15-24,BE,2007,3.7,3.0
SMT,Y15-24,BE,2008,3.5,3.7
SMT,Y15-24,BE,2009,3.7,3.5
SMT,Y15-24,BE,2010,3.0,3.7
SMT,Y15-24,BE,2011,3.5,3.0
SMT,Y15-24,BE,2012,3.5,3.5
SMT,Y15-24,BE,2013,4.1,3.5
SMT,Y15-24,BE,2014,5.4,4.1
SMT,Y15-24,BE,2015,5.3,5.4
SMT,Y15-24,BE,2016,5.9,5.3
SMT,Y15-24,BE,2017,7.0,5.9
SMT,Y15-24,BE,2018,6.9,7.0
SMT,Y15-24,BE,2019,7.8,6.9
SMT,Y15-24,BE,2020,7.2,7.8
SMT,Y15-24,CH,2005,7.3,0.0
SMT,Y15-24,CH,2006,7.9,7.3
SMT,Y15-24,CH,2007,7.2,7.9
SMT,Y15-24,CH,2008,8.8,7.2
SMT,Y15-24,CH,2009,7.8,8.8
SMT,Y15-24,CH,2010,6.6,7.8
SMT,Y15-24,CH,2011,6.7,6.6
SMT,Y15-24,CH,2012,5.3,6.7
SMT,Y15-24,CH,2013,6.2,5.3
SMT,Y15-24,CH,2014,6.5,6.2
SMT,Y15-24,CH,2015,6.8,6.5
SMT,Y15-24,CH,2016,7.8,6.8
SMT,Y15-24,CH,2017,8.1,7.8
SMT,Y15-24,CH,2018,8.1,8.1
SMT,Y15-24,CH,2019,8.6,8.1
SMT,Y15-24,CH,2020,12.4,8.6
SMT,Y15-24,CZ,2005,3.0,0.0
SMT,Y15-24,CZ,2006,2.1,3.0
SMT,Y15-24,CZ,2007,1.7,2.1
SMT,Y15-24,CZ,2008,1.7,1.7
SMT,Y15-24,CZ,2009,1.6,1.7
SMT,Y15-24,CZ,2010,1.3,1.6
SMT,Y15-24,CZ,2011,1.2,1.3
SMT,Y15-24,CZ,2012,2.8,1.2
SMT,Y15-24,CZ,2013,1.5,2.8
SMT,Y15-24,CZ,2014,1.3,1.5
SMT,Y15-24,CZ,2015,1.7,1.3
SMT,Y15-24,CZ,2016,1.3,1.7
SMT,Y15-24,CZ,2017,2.2,1.3
SMT,Y15-24,CZ,2018,2.7,2.2
SMT,Y15-24,CZ,2019,2.3,2.7
SMT,Y15-24,CZ,2020,1.2,2.3
SMT,Y15-24,DE,2005,1.9,0.0
