edu,geo,time,value
ED0-2,AT,2018,11.3
ED0-2,AT,2019,10.6
ED0-2,AT,2020,12.2
ED3-4,AT,2018,4.2
ED3-4,AT,2019,3.9
ED3-4,AT,2020,5.0
ED5-8,AT,2018,3.2
ED5-8,AT,2019,3.0
ED5-8,AT,2020,3.4
TOTAL,AT,2018,4.8
TOTAL,AT,2019,4.5
TOTAL,AT,2020,5.4
ED0-2,AT1,2018,16.0
ED0-2,AT1,2019,15.4
ED0-2,AT1,2020,16.9
ED3-4,AT1,2018,6.2
ED3-4,AT1,2019,6.1
ED3-4,AT1,2020,7.3
ED5-8,AT1,2018,4.4
ED5-8,AT1,2019,4.2
ED5-8,AT1,2020,4.2
TOTAL,AT1,2018,6.8
TOTAL,AT1,2019,6.6
TOTAL,AT1,2020,7.3
ED3-4,AT11,2020,4.5
TOTAL,AT11,2018,4.2
TOTAL,AT11,2019,3.6
TOTAL,AT11,2020,4.2
ED0-2,AT12,2018,8.8
ED0-2,AT12,2019,9.0
ED0-2,AT12,2020,11.5
ED3-4,AT12,2018,3.5
ED3-4,AT12,2019,3.8
ED3-4,AT12,2020,3.8
ED5-8,AT12,2018,2.3
ED5-8,AT12,2019,2.6
ED5-8,AT12,2020,2.4
TOTAL,AT12,2018,3.8
TOTAL,AT12,2019,4.0
TOTAL,AT12,2020,4.2
ED0-2,AT13,2018,22.3
ED0-2,AT13,2019,21.1
ED0-2,AT13,2020,21.7
ED3-4,AT13,2018,9.8
ED3-4,AT13,2019,9.1
ED3-4,AT13,2020,12.1
ED5-8,AT13,2018,5.9
ED5-8,AT13,2019,5.4
ED5-8,AT13,2020,5.7
TOTAL,AT13,2018,10.0
TOTAL,AT13,2019,9.3
TOTAL,AT13,2020,10.6
ED0-2,AT2,2018,8.9
ED0-2,AT2,2019,8.3
ED0-2,AT2,2020,11.3
ED3-4,AT2,2018,3.8
ED3-4,AT2,2019,3.0
ED3-4,AT2,2020,4.0
ED5-8,AT2,2018,2.8
ED5-8,AT2,2019,2.3
ED5-8,AT2,2020,3.0
TOTAL,AT2,2018,4.0
TOTAL,AT2,2019,3.4
TOTAL,AT2,2020,4.5
ED0-2,AT21,2020,11.5
ED3-4,AT21,2018,3.8
ED3-4,AT21,2019,3.6
ED3-4,AT21,2020,4.4
ED5-8,AT21,2020,3.2
TOTAL,AT21,2018,4.1
TOTAL,AT21,2019,3.8
TOTAL,AT21,2020,4.7
ED0-2,AT22,2018,8.9
ED0-2,AT22,2019,8.2
ED0-2,AT22,2020,11.2
ED3-4,AT22,2018,3.7
ED3-4,AT22,2019,2.8
ED3-4,AT22,2020,3.8
ED5-8,AT22,2018,2.7
ED5-8,AT22,2019,2.2
ED5-8,AT22,2020,2.9
TOTAL,AT22,2018,4.0
TOTAL,AT22,2019,3.2
TOTAL,AT22,2020,4.4
ED0-2,AT3,2018,7.2
ED0-2,AT3,2019,6.3
ED0-2,AT3,2020,7.6
ED3-4,AT3,2018,2.5
ED3-4,AT3,2019,2.3
ED3-4,AT3,2020,3.1
ED5-8,AT3,2018,1.7
ED5-8,AT3,2019,1.7
ED5-8,AT3,2020,2.3
TOTAL,AT3,2018,3.0
TOTAL,AT3,2019,2.7
TOTAL,AT3,2020,3.5
ED0-2,AT31,2018,8.1
ED0-2,AT31,2019,7.5
ED0-2,AT31,2020,8.3
ED3-4,AT31,2018,2.9
ED3-4,AT31,2019,2.4
ED3-4,AT31,2020,3.3
ED5-8,AT31,2018,1.5
ED5-8,AT31,2019,1.8
ED5-8,AT31,2020,2.8
TOTAL,AT31,2018,3.2
TOTAL,AT31,2019,2.9
TOTAL,AT31,2020,3.9
ED3-4,AT32,2018,2.4
ED3-4,AT32,2019,2.2
ED3-4,AT32,2020,2.9
TOTAL,AT32,2018,2.8
TOTAL,AT32,2019,2.4
TOTAL,AT32,2020,3.0
ED0-2,AT33,2020,7.0
ED3-4,AT33,2018,1.9
ED3-4,AT33,2019,1.9
ED3-4,AT33,2020,2.8
TOTAL,AT33,2018,2.4
TOTAL,AT33,2019,2.1
TOTAL,AT33,2020,3.0
ED3-4,AT34,2020,3.2
TOTAL,AT34,2018,3.3
TOTAL,AT34,2019,3.2
TOTAL,AT34,2020,3.6
ED0-2,BE,2018,13.1
ED0-2,BE,2019,12.0
ED0-2,BE,2020,12.0
ED3-4,BE,2018,6.0
ED3-4,BE,2019,5.3
ED3-4,BE,2020,5.7
ED5-8,BE,2018,3.4
ED5-8,BE,2019,3.2
ED5-8,BE,2020,3.4
TOTAL,BE,2018,5.9
TOTAL,BE,2019,5.4
TOTAL,BE,2020,5.6
ED0-2,BE1,2018,25.6
ED0-2,BE1,2019,24.5
ED0-2,BE1,2020,25.4
ED3-4,BE1,2018,16.4
ED3-4,BE1,2019,13.4
